datetime,chain_detected
2025-10-20 20:22:21,-1.0
2025-10-20 20:22:25,-1.0
2025-10-20 20:22:26,-1.0
2025-10-20 20:22:27,-1.0
2025-10-20 20:22:36,-1.0
2025-10-20 20:22:39,-1.0
2025-10-20 20:22:40,-1.0
2025-10-20 20:22:45,-1.0
2025-10-20 20:22:49,-1.0
2025-10-20 20:23:01,-1.0
2025-10-20 20:23:04,-1.0
2025-10-20 20:23:24,-1.0
2025-10-20 20:23:31,-1.0
2025-10-20 20:23:36,-1.0
2025-10-20 20:23:37,-1.0
2025-10-20 20:23:38,-1.0
2025-10-20 20:23:40,-1.0
2025-10-20 20:23:46,-1.0
2025-10-20 20:24:01,-1.0
2025-10-20 20:24:09,-1.0
2025-10-20 20:24:18,-1.0
2025-10-20 20:24:21,-1.0
2025-10-20 20:24:25,-1.0
2025-10-20 20:24:29,-1.0
2025-10-20 20:24:43,-1.0
2025-10-20 20:24:46,-1.0
2025-10-20 20:24:47,-1.0
2025-10-20 20:24:48,-1.0
2025-10-20 20:24:49,-1.0
2025-10-20 20:24:51,-1.0
2025-10-20 20:24:52,-1.0
2025-10-20 20:25:01,-1.0
2025-10-20 20:25:02,-1.0
2025-10-20 20:25:05,-1.0
2025-10-20 20:25:06,-1.0
2025-10-20 20:25:10,-1.0
2025-10-20 20:25:34,-1.0
2025-10-20 20:25:47,-1.0
2025-10-20 20:25:49,-1.0
2025-10-20 20:25:54,-1.0
2025-10-20 20:26:00,-1.0
2025-10-20 20:26:06,-1.0
2025-10-20 20:26:07,-1.0
2025-10-20 20:26:30,-1.0
2025-10-20 20:26:33,-1.0
2025-10-20 20:26:36,-1.0
2025-10-20 20:27:13,-1.0
2025-10-20 20:27:16,-1.0
2025-10-20 20:27:21,-1.0
2025-10-20 20:27:24,-1.0
2025-10-20 20:27:25,-1.0
2025-10-20 20:27:29,-1.0
2025-10-20 20:27:31,-1.0
2025-10-20 20:27:41,-1.0
2025-10-20 20:27:47,-1.0
2025-10-20 20:28:01,-1.0
2025-10-20 20:28:25,-1.0
2025-10-20 20:28:38,-1.0
2025-10-20 20:28:46,-1.0
2025-10-20 20:29:07,-1.0
2025-10-20 20:29:14,-1.0
2025-10-20 20:29:39,-1.0
2025-10-20 20:29:47,-1.0
2025-10-20 20:29:49,-1.0
2025-10-20 20:30:14,-1.0
2025-10-20 20:30:18,-1.0
2025-10-20 20:30:26,-1.0
2025-10-20 20:30:31,-1.0
2025-10-20 20:30:40,-1.0
2025-10-20 20:31:00,-1.0
2025-10-20 20:31:01,-1.0
2025-10-20 20:31:10,-1.0
2025-10-20 20:31:13,-1.0
2025-10-20 20:31:15,-1.0
2025-10-20 20:31:17,-1.0
2025-10-20 20:31:19,-1.0
2025-10-20 20:31:24,-1.0
2025-10-20 20:32:00,-1.0
2025-10-20 20:32:05,-1.0
2025-10-20 20:32:13,-1.0
2025-10-20 20:32:28,-1.0
2025-10-20 20:32:30,-1.0
2025-10-20 20:32:35,-1.0
2025-10-20 20:33:22,-1.0
2025-10-20 20:34:21,-1.0
2025-10-20 20:34:23,-1.0
2025-10-20 20:34:25,-1.0
2025-10-20 20:34:43,-1.0
2025-10-20 20:34:46,-1.0
2025-10-20 20:34:47,-1.0
2025-10-20 20:34:50,-1.0
2025-10-20 20:36:20,-1.0
2025-10-20 20:36:27,-1.0
2025-10-20 20:36:33,-1.0
2025-10-20 20:36:34,-1.0
2025-10-20 20:36:44,-1.0
2025-10-20 20:36:52,-1.0
2025-10-20 20:36:57,-1.0
2025-10-20 20:36:59,-1.0
2025-10-20 20:37:00,-1.0
2025-10-20 20:37:15,-1.0
2025-10-20 20:37:30,-1.0
2025-10-20 20:37:36,-1.0
2025-10-20 20:37:58,-1.0
2025-10-20 20:38:07,-1.0
2025-10-20 20:38:47,-1.0
2025-10-20 20:38:55,-1.0
2025-10-20 20:38:59,-1.0
2025-10-20 20:40:19,-1.0
2025-10-20 20:40:31,-1.0
2025-10-20 20:41:13,-1.0
2025-10-20 20:41:24,-1.0
2025-10-20 20:41:26,-1.0
2025-10-20 20:41:29,-1.0
2025-10-20 20:41:31,-1.0
2025-10-20 20:41:34,-1.0
2025-10-20 20:41:35,-1.0
2025-10-20 20:41:36,-1.0
2025-10-20 20:41:38,-1.0
2025-10-20 20:41:56,-1.0
2025-10-20 20:42:06,-1.0
2025-10-20 20:42:19,-1.0
2025-10-20 20:42:30,-1.0
2025-10-20 20:43:06,-1.0
2025-10-20 20:44:01,-1.0
2025-10-20 20:44:02,-1.0
2025-10-20 20:44:10,-1.0
2025-10-20 20:44:28,-1.0
2025-10-20 20:44:36,-1.0
2025-10-20 20:44:38,-1.0
2025-10-20 20:44:47,-1.0
2025-10-20 20:44:53,-1.0
2025-10-20 20:45:26,-1.0
2025-10-20 20:45:36,-1.0
2025-10-20 20:46:07,-1.0
2025-10-20 20:46:21,-1.0
2025-10-20 20:46:30,-1.0
2025-10-20 20:46:41,-1.0
2025-10-20 20:46:48,-1.0
2025-10-20 20:46:53,-1.0
2025-10-20 20:47:03,-1.0
2025-10-20 20:47:08,-1.0
2025-10-20 20:47:41,-1.0
2025-10-20 20:47:42,-1.0
2025-10-20 20:47:49,-1.0
2025-10-20 20:48:06,-1.0
2025-10-20 20:48:18,-1.0
2025-10-20 20:48:26,-1.0
2025-10-20 20:48:39,-1.0
2025-10-20 20:48:41,-1.0
2025-10-20 20:48:43,-1.0
2025-10-20 20:48:49,-1.0
2025-10-20 20:48:56,-1.0
2025-10-20 20:48:58,-1.0
2025-10-20 20:49:45,-1.0
2025-10-20 20:50:11,-1.0
2025-10-20 20:50:24,-1.0
2025-10-20 20:50:35,-1.0
2025-10-20 20:50:43,-1.0
2025-10-20 20:51:05,-1.0
2025-10-20 20:51:14,-1.0
2025-10-20 20:51:33,-1.0
2025-10-20 20:52:05,-1.0
