datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-10-23 15:15:00,109880.27,109927.39,109558.64,109665.77,86.70125,2025-10-23 15:19:59.999,9515829.7252204,26212,39.25432,4308998.9419626,0
2025-10-23 15:20:00,109665.77,109665.77,109500.64,109647.69,59.65817,2025-10-23 15:24:59.999,6538042.7541677,20261,23.53125,2578774.3575327,0
2025-10-23 15:25:00,109647.69,109816.01,109601.28,109796.74,78.38737,2025-10-23 15:29:59.999,8598915.3065497,21276,31.12808,3414817.2973238,0
2025-10-23 15:30:00,109796.74,110109.99,109796.73,110066.69,120.17812,2025-10-23 15:34:59.999,13219009.3787761,24760,61.43374,6756362.530488,0
2025-10-23 15:35:00,110066.68,110109.95,109799.71,109897.27,81.52992,2025-10-23 15:39:59.999,8965667.7923757,23968,29.43394,3235748.1900832,0
2025-10-23 15:40:00,109897.28,109983.99,109620.0,109710.95,52.92979,2025-10-23 15:44:59.999,5813593.2079695,18175,16.47422,1810029.201357,0
2025-10-23 15:45:00,109710.95,109917.66,109672.48,109912.3,49.76909,2025-10-23 15:49:59.999,5467229.3401647,16406,27.14004,2981058.4375398,0
2025-10-23 15:50:00,109912.3,110064.42,109865.07,109997.31,41.38702,2025-10-23 15:54:59.999,4550834.7369129,17742,19.58983,2154119.1518162,0
2025-10-23 15:55:00,109997.31,110058.03,109887.68,109908.28,45.85525,2025-10-23 15:59:59.999,5044180.3365723,12958,27.08351,2979267.942828,0
2025-10-23 16:00:00,109908.29,110035.45,109871.83,110018.75,55.20142,2025-10-23 16:04:59.999,6069467.8871917,13095,21.43153,2356558.1820098,0
2025-10-23 16:05:00,110018.74,110069.33,109806.44,109850.35,89.68621,2025-10-23 16:09:59.999,9862068.2205869,20210,50.10556,5510320.0580953,0
2025-10-23 16:10:00,109850.36,110058.27,109771.04,110018.04,56.69633,2025-10-23 16:14:59.999,6232650.7736944,15209,32.35814,3557076.9936276,0
2025-10-23 16:15:00,110018.05,110111.0,109951.01,109951.01,52.95143,2025-10-23 16:19:59.999,5825727.1460314,17237,24.46782,2692174.778566,0
2025-10-23 16:20:00,109951.02,110026.0,109921.12,109922.81,23.24496,2025-10-23 16:24:59.999,2556119.6664262,10535,8.48315,932894.2299632,0
2025-10-23 16:25:00,109922.8,109974.0,109781.73,109820.09,78.37769,2025-10-23 16:29:59.999,8611313.8321304,14642,18.17082,1996733.6631083,0
2025-10-23 16:30:00,109820.1,109912.38,109820.01,109854.8,52.46656,2025-10-23 16:34:59.999,5763943.4392929,11647,30.23441,3321315.5728007,0
2025-10-23 16:35:00,109854.8,109854.8,109647.34,109658.86,52.71187,2025-10-23 16:39:59.999,5783939.8167143,15162,14.22336,1560528.7965134,0
2025-10-23 16:40:00,109658.87,109869.09,109658.87,109838.2,52.86311,2025-10-23 16:44:59.999,5802950.0221093,9589,30.16744,3311195.3704207,0
2025-10-23 16:45:00,109838.21,109957.03,109823.38,109949.64,32.05442,2025-10-23 16:49:59.999,3523032.4375408,10303,20.08805,2207730.2783138,0
2025-10-23 16:50:00,109949.64,110568.45,109949.63,110533.5,228.74055,2025-10-23 16:54:59.999,25237673.5295972,25750,174.27644,19225838.8788379,0
2025-10-23 16:55:00,110533.5,110576.5,110240.41,110263.74,108.88438,2025-10-23 16:59:59.999,12018357.9191079,21172,49.1514,5425549.101245,0
2025-10-23 17:00:00,110263.74,110281.88,109905.53,109953.4,121.3361,2025-10-23 17:04:59.999,13351465.8497391,29112,43.57451,4794673.8158739,0
2025-10-23 17:05:00,109953.4,110041.79,109650.0,109871.96,168.23653,2025-10-23 17:09:59.999,18475084.8964444,33772,74.24841,8153949.6515796,0
2025-10-23 17:10:00,109871.96,109993.11,109835.62,109947.42,65.67408,2025-10-23 17:14:59.999,7219228.1930999,17803,31.8178,3497306.7527348,0
2025-10-23 17:15:00,109947.43,110153.84,109909.8,110130.86,48.25954,2025-10-23 17:19:59.999,5310497.2002353,15734,30.0634,3308386.9621528,0
2025-10-23 17:20:00,110130.86,110160.22,110021.26,110118.37,39.50912,2025-10-23 17:24:59.999,4349698.646171,14247,12.69502,1397536.0983149,0
2025-10-23 17:25:00,110118.37,110214.87,110014.68,110206.45,32.87664,2025-10-23 17:29:59.999,3620014.0470141,11878,22.67244,2496694.9003969,0
2025-10-23 17:30:00,110206.44,110355.29,110121.21,110355.28,65.88844,2025-10-23 17:34:59.999,7262137.4503558,17287,38.97436,4296223.1279298,0
2025-10-23 17:35:00,110355.29,110934.39,110355.28,110900.06,316.3041,2025-10-23 17:39:59.999,35030090.2114497,42733,203.64991,22551645.2447235,0
2025-10-23 17:40:00,110900.06,111000.0,110706.19,110736.38,138.12664,2025-10-23 17:44:59.999,15315659.0892523,28091,52.14563,5782362.0172915,0
2025-10-23 17:45:00,110736.38,111250.0,110736.38,111145.94,345.77606,2025-10-23 17:49:59.999,38413967.8044188,27789,162.42586,18036873.8113207,0
2025-10-23 17:50:00,111145.94,111240.38,110983.05,111082.05,119.79251,2025-10-23 17:54:59.999,13311329.6552871,20557,55.58024,6175867.6727698,0
2025-10-23 17:55:00,111082.05,111293.61,111072.26,111241.71,143.92986,2025-10-23 17:59:59.999,16007869.7701334,23388,87.93593,9780088.0589785,0
2025-10-23 18:00:00,111241.71,111289.36,111116.5,111155.51,82.58275,2025-10-23 18:04:59.999,9184663.7366339,18252,39.45055,4387805.3724516,0
2025-10-23 18:05:00,111155.52,111212.24,110922.86,110922.86,71.30588,2025-10-23 18:09:59.999,7919553.2289572,19384,22.10077,2454865.5797372,0
2025-10-23 18:10:00,110922.86,111136.62,110749.52,110777.33,108.93133,2025-10-23 18:14:59.999,12089940.1291895,22737,46.5813,5170725.8873421,0
2025-10-23 18:15:00,110777.34,110904.71,110742.56,110855.47,72.33039,2025-10-23 18:19:59.999,8015595.4413945,14157,28.62742,3172281.0785117,0
2025-10-23 18:20:00,110855.48,110887.32,110522.72,110560.44,103.07006,2025-10-23 18:24:59.999,11405402.5042242,22498,30.68546,3395330.9740596,0
2025-10-23 18:25:00,110560.44,110667.66,110533.92,110534.01,54.15164,2025-10-23 18:29:59.999,5988995.0653992,10970,21.42791,2369896.6905498,0
2025-10-23 18:30:00,110534.01,110588.97,110402.1,110535.53,73.45884,2025-10-23 18:34:59.999,8117294.572911,16761,27.51523,3039925.2193757,0
2025-10-23 18:35:00,110535.54,110540.0,110402.09,110415.59,42.79273,2025-10-23 18:39:59.999,4725986.0315772,8814,15.05279,1662264.7753594,0
2025-10-23 18:40:00,110415.6,110540.72,110402.1,110533.74,24.22955,2025-10-23 18:44:59.999,2676470.3227281,7057,10.75951,1188562.1565208,0
2025-10-23 18:45:00,110533.75,110557.42,110261.48,110340.55,56.40475,2025-10-23 18:49:59.999,6227041.1648031,16821,24.11918,2662383.6492769,0
2025-10-23 18:50:00,110340.54,110580.48,110307.65,110560.68,53.985,2025-10-23 18:54:59.999,5965081.1733434,8988,44.42561,4909248.6539924,0
2025-10-23 18:55:00,110560.68,110614.01,110510.99,110571.66,18.49076,2025-10-23 18:59:59.999,2044626.2288493,8244,6.32837,699778.9063103,0
2025-10-23 19:00:00,110571.66,110619.9,110106.0,110106.03,60.01259,2025-10-23 19:04:59.999,6621995.2416719,18465,15.07566,1664509.8088475,0
2025-10-23 19:05:00,110106.04,110318.92,110106.03,110306.06,75.85945,2025-10-23 19:09:59.999,8360520.3624953,14256,20.47486,2256917.9083584,0
2025-10-23 19:10:00,110306.06,110381.16,110306.06,110359.97,22.41616,2025-10-23 19:14:59.999,2473746.2945895,7473,8.13699,897867.7309204,0
2025-10-23 19:15:00,110359.96,110359.97,110202.0,110228.41,22.1898,2025-10-23 19:19:59.999,2446531.8120871,8133,8.08726,891535.2287802,0
2025-10-23 19:20:00,110228.41,110485.87,110228.4,110485.87,35.42174,2025-10-23 19:24:59.999,3909148.7564798,6722,25.7223,2838506.9660388,0
2025-10-23 19:25:00,110485.87,110555.47,110473.27,110526.88,30.01578,2025-10-23 19:29:59.999,3317152.508066,7518,15.56219,1719808.4312388,0
2025-10-23 19:30:00,110526.89,110540.06,110352.24,110356.99,14.91671,2025-10-23 19:34:59.999,1647370.6694773,8832,4.9058,541777.048369,0
2025-10-23 19:35:00,110356.98,110410.01,110310.73,110410.01,18.55064,2025-10-23 19:39:59.999,2047311.6628247,8051,8.73491,964063.4921722,0
2025-10-23 19:40:00,110410.37,110450.0,110344.86,110344.86,16.67873,2025-10-23 19:44:59.999,1841635.5302852,8389,6.33928,699917.1145158,0
2025-10-23 19:45:00,110344.87,110538.0,110341.99,110537.99,22.77294,2025-10-23 19:49:59.999,2515514.6758473,12913,15.43224,1704732.7856881,0
2025-10-23 19:50:00,110537.99,110537.99,110279.55,110323.18,34.37868,2025-10-23 19:54:59.999,3795132.844078,12503,7.74163,854434.7547927,0
2025-10-23 19:55:00,110323.17,110323.17,110200.0,110200.0,35.78524,2025-10-23 19:59:59.999,3945207.9948794,13224,12.5276,1380924.7971193,0
2025-10-23 20:00:00,110200.01,110200.01,109725.55,109989.36,150.00622,2025-10-23 20:04:59.999,16496116.4304771,28380,54.25193,5967579.5232081,0
2025-10-23 20:05:00,109989.36,110100.0,109937.25,110006.8,52.85166,2025-10-23 20:09:59.999,5815622.5484574,13863,29.88778,3288579.0790878,0
2025-10-23 20:10:00,110006.79,110040.39,109786.01,109902.61,66.89125,2025-10-23 20:14:59.999,7352298.6408811,14990,28.74167,3158493.9854877,0
2025-10-23 20:15:00,109902.62,109950.0,109852.0,109946.09,21.80718,2025-10-23 20:19:59.999,2396829.3713217,7251,10.40999,1144066.4696484,0
2025-10-23 20:20:00,109946.1,110014.0,109932.21,109932.21,25.88161,2025-10-23 20:24:59.999,2846109.5701905,5863,14.36154,1579194.4136677,0
2025-10-23 20:25:00,109932.21,109968.04,109868.01,109953.44,34.62952,2025-10-23 20:29:59.999,3806906.9951987,9769,13.68316,1504068.1122026,0
2025-10-23 20:30:00,109953.45,110044.81,109935.05,110044.81,46.28729,2025-10-23 20:34:59.999,5091881.1244561,9214,19.96086,2196006.2394371,0
2025-10-23 20:35:00,110044.8,110049.87,109851.08,109851.08,24.40914,2025-10-23 20:39:59.999,2684559.5356187,7756,4.40379,484425.8643719,0
2025-10-23 20:40:00,109851.08,109888.91,109790.55,109888.02,22.79343,2025-10-23 20:44:59.999,2503798.1593734,7429,10.62916,1167548.6275147,0
2025-10-23 20:45:00,109888.03,109888.03,109745.01,109777.85,27.5947,2025-10-23 20:49:59.999,3029865.0176362,10919,10.63175,1167372.8039363,0
2025-10-23 20:50:00,109777.84,109888.03,109761.2,109835.31,15.63058,2025-10-23 20:54:59.999,1717074.0652209,9265,4.03519,443231.6742259,0
2025-10-23 20:55:00,109835.32,109853.52,109341.28,109524.81,140.4259,2025-10-23 20:59:59.999,15392870.0763127,24911,44.97062,4927164.565633,0
2025-10-23 21:00:00,109524.81,109668.09,109391.75,109646.33,71.3112,2025-10-23 21:04:59.999,7811836.8524905,17271,39.79821,4360018.47047,0
2025-10-23 21:05:00,109646.34,109686.82,109591.96,109640.47,24.83778,2025-10-23 21:09:59.999,2723395.0194451,6078,12.53841,1374833.3629565,0
2025-10-23 21:10:00,109640.47,109716.5,109570.96,109716.5,25.67868,2025-10-23 21:14:59.999,2814637.8979797,8684,13.81391,1514091.8375482,0
2025-10-23 21:15:00,109716.5,109716.5,109587.11,109671.85,22.00776,2025-10-23 21:19:59.999,2413314.9364813,6141,9.36359,1026774.7402192,0
2025-10-23 21:20:00,109671.85,109695.6,109589.99,109695.6,38.35955,2025-10-23 21:24:59.999,4205821.1144876,6074,26.03121,2854200.9732097,0
