datetime,open,high,low,close
2025-04-02 13:05:00,566.14,566.16,565.9204,566.16
2025-04-02 13:05:03,566.13,566.26,566.13,566.23
2025-04-02 13:05:06,566.26,566.26,565.9292,566.2299
2025-04-02 13:05:09,566.21,566.25,566.2,566.215
2025-04-02 13:05:12,566.2,566.2,566.12,566.17
2025-04-02 13:05:15,566.17,566.23,566.16,566.215
2025-04-02 13:05:18,566.21,566.22,565.9489,566.1812
2025-04-02 13:05:21,566.17,566.2597,566.14,566.24
2025-04-02 13:05:24,566.23,566.26,565.9628,566.24
2025-04-02 13:05:27,566.25,566.2699,566.19,566.238699
2025-04-02 13:05:30,566.22,566.245,566.19,566.235
2025-04-02 13:05:33,566.235,566.235,565.9986,566.14
2025-04-02 13:05:36,566.125,566.13,566.0501,566.09
2025-04-02 13:05:39,566.105,566.11,566.04,566.1
2025-04-02 13:05:42,566.09,566.13,566.0053,566.11
2025-04-02 13:05:45,566.12,566.18,566.12,566.175
2025-04-02 13:05:48,566.16,566.21,566.15,566.17
2025-04-02 13:05:51,566.17,566.18,566.0107,566.13
2025-04-02 13:05:54,566.1491,566.1688,566.12,566.125
2025-04-02 13:05:57,566.13,566.1883,566.12,566.12
2025-04-02 13:06:00,566.11,566.17,566.09,566.136
2025-04-02 13:06:03,566.1399,566.1399,566.07,566.07
2025-04-02 13:06:06,566.07,566.12,566.07,566.12
2025-04-02 13:06:09,566.1175,566.1799,566.0226,566.1501
2025-04-02 13:06:12,566.15,566.1585,566.1401,566.15
2025-04-02 13:06:15,566.1688,566.2377,565.7299,566.225
2025-04-02 13:06:18,566.22,566.22,566.0278,566.19
2025-04-02 13:06:21,566.18,566.18,566.06,566.06
2025-04-02 13:06:24,566.0619,566.175423,566.0351,566.06
2025-04-02 13:06:27,566.07,566.1128,566.03,566.075
2025-04-02 13:06:30,566.08,566.09,566.05,566.075
2025-04-02 13:06:33,566.1099,566.13,566.0544,566.13
2025-04-02 13:06:36,566.13,566.183,566.105,566.183
2025-04-02 13:06:39,566.17,566.27,565.7546,566.26
2025-04-02 13:06:42,566.26,566.32,566.2598,566.3
2025-04-02 13:06:45,566.28,566.28,566.24,566.25
2025-04-02 13:06:48,566.2573,566.2573,561.165,566.2
2025-04-02 13:06:51,566.22,566.2897,566.215,566.2897
2025-04-02 13:06:54,566.2601,566.2997,566.2601,566.2799
2025-04-02 13:06:57,566.27,566.33,566.1902,566.285
2025-04-02 13:07:00,566.28,566.3001,566.235,566.3001
2025-04-02 13:07:03,566.29,566.29,566.24,566.2699
2025-04-02 13:07:06,566.27,566.27,566.0941,566.24
2025-04-02 13:07:09,566.21,566.28,566.21,566.26
2025-04-02 13:07:12,566.28,566.34,566.26,566.3187
2025-04-02 13:07:15,566.33,566.35,566.2899,566.2899
2025-04-02 13:07:18,566.3012,566.31,566.1277,566.2999
2025-04-02 13:07:21,566.28,566.31,566.26,566.31
2025-04-02 13:07:24,566.296,566.34,566.1327,566.3398
2025-04-02 13:07:27,566.35,566.41,566.291459,566.291459
2025-04-02 13:07:30,566.4,566.44,566.375,566.4387
2025-04-02 13:07:33,566.43,566.45,566.1445,566.425
2025-04-02 13:07:36,566.42,566.46,566.41,566.4203
2025-04-02 13:07:39,566.45,566.455,566.425,566.45
2025-04-02 13:07:42,566.46,566.46,566.44,566.4599
2025-04-02 13:07:45,566.46,566.58,566.4525,566.555
2025-04-02 13:07:48,566.5692,566.57,566.53,566.5385
2025-04-02 13:07:51,566.5222,566.57,566.46,566.47
2025-04-02 13:07:54,566.47,566.5199,566.47,566.5175
2025-04-02 13:07:57,566.51,566.57,566.51,566.55
2025-04-02 13:08:00,566.555,566.56,561.165,566.5301
2025-04-02 13:08:03,566.5207,566.55,566.5,566.52
2025-04-02 13:08:06,566.519,566.519,566.48,566.49
2025-04-02 13:08:09,566.5,566.52,566.46,566.5
2025-04-02 13:08:12,566.4809,566.51,566.44,566.51
2025-04-02 13:08:15,566.51,566.52,566.46,566.52
2025-04-02 13:08:18,566.5301,566.57,566.2598,566.56
2025-04-02 13:08:21,566.555,566.56,566.5208,566.54
2025-04-02 13:08:24,566.54,566.54,566.2715,566.54
2025-04-02 13:08:27,566.55,566.58,566.508304,566.508304
2025-04-02 13:08:30,566.56,566.5898,566.55,566.56
2025-04-02 13:08:33,566.555,566.555,566.28,566.54
2025-04-02 13:08:36,566.55,566.64,566.55,566.63
2025-04-02 13:08:39,566.625,566.69,566.61,566.62
2025-04-02 13:08:42,566.62,566.65,566.555551,566.62
2025-04-02 13:08:45,566.62,566.65,566.59,566.6203
2025-04-02 13:08:48,566.6245,566.64,566.59,566.6188
2025-04-02 13:08:51,566.6353,566.66,566.3428,566.64
2025-04-02 13:08:54,566.65,566.6599,566.6102,566.64
2025-04-02 13:08:57,566.61,566.67,566.6,566.64
2025-04-02 13:09:00,566.645,566.6599,566.56,566.56
2025-04-02 13:09:03,566.58,566.61,566.3491,566.61
2025-04-02 13:09:06,566.57,566.58,566.46,566.48
2025-04-02 13:09:09,566.49,566.5299,566.49,566.51
2025-04-02 13:09:12,566.51,566.5225,566.44,566.4549
2025-04-02 13:09:15,566.4584,566.51,566.44,566.4827
2025-04-02 13:09:18,566.495,566.5113,566.3775,566.5113
2025-04-02 13:09:21,566.51,566.5299,566.45,566.465
2025-04-02 13:09:24,566.44,566.489,566.3847,566.46
2025-04-02 13:09:27,566.47,566.5852,566.47,566.5852
2025-04-02 13:09:30,566.5288,566.55,566.3502,566.515
2025-04-02 13:09:33,566.53,566.53,566.3905,566.51
2025-04-02 13:09:36,566.5297,566.53,566.44,566.46
2025-04-02 13:09:39,566.48,566.49,566.45,566.49
2025-04-02 13:09:42,566.3967,566.4799,566.3967,566.44
2025-04-02 13:09:45,566.47,566.48,566.4103,566.48
2025-04-02 13:09:48,566.48,566.48,566.4501,566.48
2025-04-02 13:09:51,566.475,566.491073,566.42,566.43
2025-04-02 13:09:54,566.43,566.4598,566.4251,566.4399
2025-04-02 13:09:57,566.4278,566.45,566.4278,566.435
2025-04-02 13:10:00,566.42,566.461,566.39,566.452
2025-04-02 13:10:03,566.47,566.53,566.4699,566.515
2025-04-02 13:10:06,566.5256,566.55,566.5001,566.55
2025-04-02 13:10:09,566.5699,566.59,566.52,566.56
2025-04-02 13:10:12,566.56,566.63,566.244,566.62
2025-04-02 13:10:15,566.61,566.64,566.585,566.635
2025-04-02 13:10:18,566.64,566.71,566.4164,566.71
2025-04-02 13:10:21,566.7,566.78,566.4762,566.77
2025-04-02 13:10:24,566.78,566.81,566.77,566.79
2025-04-02 13:10:27,566.78,566.85,566.4303,566.8389
2025-04-02 13:10:30,566.8348,566.85,566.77,566.7801
2025-04-02 13:10:33,566.78,566.815,566.4558,566.8
2025-04-02 13:10:36,566.795,566.82,566.78,566.81
2025-04-02 13:10:39,566.82,566.88,566.81,566.86
2025-04-02 13:10:42,566.8786,566.91,566.8623,566.9
2025-04-02 13:10:45,566.9,566.915,566.87,566.8901
2025-04-02 13:10:48,566.9,566.92,566.7541,566.91
2025-04-02 13:10:51,566.9101,566.9292,566.9,566.9
2025-04-02 13:10:54,566.905,566.95,566.9,566.9101
2025-04-02 13:10:57,566.91,566.94,566.89,566.94
2025-04-02 13:11:00,566.91,566.91,566.84,566.84
2025-04-02 13:11:03,566.85,566.91,566.8393,566.9
2025-04-02 13:11:06,566.9,566.9497,566.3421,566.93
2025-04-02 13:11:09,566.92,567.03,566.92,566.96
2025-04-02 13:11:12,566.9769,567.0299,566.95,567.025
2025-04-02 13:11:15,567.0072,567.04,567.0072,567.0301
2025-04-02 13:11:18,567.035,567.09,566.5774,567.0592
2025-04-02 13:11:21,567.06,567.13,567.02,567.11
2025-04-02 13:11:24,567.1199,567.1199,566.9359,567.0487
2025-04-02 13:11:27,567.05,567.0791,566.4183,567.07
2025-04-02 13:11:30,567.0775,567.12,567.05,567.0585
2025-04-02 13:11:33,567.04,567.0488,567.0,567.03
2025-04-02 13:11:36,567.03,567.0498,567.0,567.0
2025-04-02 13:11:39,567.0088,567.07,566.9885,567.0169
2025-04-02 13:11:42,567.0,567.01,566.95,566.95
2025-04-02 13:11:45,566.94,567.0228,566.4797,566.96
2025-04-02 13:11:48,566.96,567.02,566.96,567.02
2025-04-02 13:11:51,567.02,567.05,567.0,567.02
2025-04-02 13:11:54,567.03,567.05,567.0298,567.0298
2025-04-02 13:11:57,567.03,567.05,567.0,567.0479
2025-04-02 13:12:00,567.04,567.07,566.6985,567.05
2025-04-02 13:12:03,567.05,567.06,566.4973,567.02
2025-04-02 13:12:06,567.0507,567.12,567.03,567.1001
2025-04-02 13:12:09,567.11,567.11,567.0332,567.09
2025-04-02 13:12:12,567.09,567.1,567.06,567.09
2025-04-02 13:12:15,567.099,567.12,567.0878,567.11
2025-04-02 13:12:18,567.12,567.14,566.7353,567.12
2025-04-02 13:12:21,567.14,567.18,566.6667,567.15
2025-04-02 13:12:24,567.155,567.21,567.15,567.19
2025-04-02 13:12:27,567.2,567.295,566.7628,567.2901
2025-04-02 13:12:30,567.298,567.4,567.29,567.4
2025-04-02 13:12:33,567.39,567.41,566.7885,566.7885
2025-04-02 13:12:36,567.38,567.43,567.35,567.41
2025-04-02 13:12:39,567.41,567.4185,567.2732,567.3025
2025-04-02 13:12:42,567.3051,567.33,567.3,567.3099
2025-04-02 13:12:45,567.305,567.37,567.3,567.3
2025-04-02 13:12:48,567.31,567.31,567.24,567.26
2025-04-02 13:12:51,567.27,567.271,567.21,567.2392
2025-04-02 13:12:54,567.2303,567.285,567.2303,567.2501
2025-04-02 13:12:57,567.26,567.33,567.25,567.29
2025-04-02 13:13:00,567.3,567.31,567.27,567.277
2025-04-02 13:13:03,567.275,567.31,567.26,567.2699
2025-04-02 13:13:06,567.265,567.27,567.12,567.13
2025-04-02 13:13:09,567.133,567.14,567.06,567.105
2025-04-02 13:13:12,567.11,567.1388,567.1,567.11
2025-04-02 13:13:15,567.12,567.12,567.06,567.07
2025-04-02 13:13:18,567.06,567.085,566.9063,567.03
2025-04-02 13:13:21,567.02,567.2094,566.98,567.01
2025-04-02 13:13:24,567.01,567.0326,566.9,566.93
2025-04-02 13:13:27,566.925,566.9592,566.8664,566.875
2025-04-02 13:13:30,566.88,566.91,566.86,566.89
2025-04-02 13:13:33,566.89,567.1617,566.8702,566.885
2025-04-02 13:13:36,566.8997,566.9237,566.87,566.8793
2025-04-02 13:13:39,566.88,566.9,566.83,566.8559
2025-04-02 13:13:42,566.88,567.1235,566.6581,567.1235
2025-04-02 13:13:45,566.82,567.01,566.81,566.83
2025-04-02 13:13:48,566.835,566.86,566.6602,566.8399
2025-04-02 13:13:51,566.83,566.86,566.83,566.835
2025-04-02 13:13:54,566.83,566.84,566.78,566.83
2025-04-02 13:13:57,566.8588,566.8793,566.85,566.8553
2025-04-02 13:14:00,566.9549,566.9549,566.8599,566.88
2025-04-02 13:14:03,566.875,566.88,566.81,566.81
2025-04-02 13:14:06,566.825,566.94,566.8225,566.94
2025-04-02 13:14:09,566.94,566.97,566.87,566.9201
2025-04-02 13:14:12,566.92,566.97,566.8912,566.93
2025-04-02 13:14:15,566.93,566.98,566.91,566.97
2025-04-02 13:14:18,566.99,567.0,566.9661,566.9661
2025-04-02 13:14:21,566.96,566.98,566.94,566.94
2025-04-02 13:14:24,566.95,567.02,566.92,566.9997
2025-04-02 13:14:27,567.0,567.04,566.706,566.9779
2025-04-02 13:14:30,566.8821,567.04,566.8821,567.0003
2025-04-02 13:14:33,567.0075,567.0296,566.98,567.0
2025-04-02 13:14:36,567.0093,567.02,561.125,566.93
2025-04-02 13:14:39,566.93,566.9891,566.93,566.9891
2025-04-02 13:14:42,566.97,566.993,566.89,566.91
2025-04-02 13:14:45,566.9,566.919,566.88,566.9051
2025-04-02 13:14:48,566.895,566.93,566.89,566.902
2025-04-02 13:14:51,566.91,566.91,566.84,566.84
2025-04-02 13:14:54,566.859,566.91,566.855,566.91
2025-04-02 13:14:57,566.92,566.97,566.86,566.93
2025-04-02 13:15:00,566.93,567.0035,566.87,566.92
2025-04-02 13:15:03,566.91,566.975,566.7501,566.77
2025-04-02 13:15:06,566.77,566.7997,566.7,566.77
2025-04-02 13:15:09,566.76,566.77,566.72,566.73
2025-04-02 13:15:12,567.0044,567.0044,566.65,566.7
2025-04-02 13:15:15,566.69,566.69,566.65,566.67
2025-04-02 13:15:18,566.69,567.0009,566.6802,566.73
2025-04-02 13:15:21,566.7391,566.78,566.71,566.78
2025-04-02 13:15:24,566.79,567.0253,566.79,566.83
2025-04-02 13:15:27,566.841,567.0023,566.76,566.785
2025-04-02 13:15:30,566.785,566.81,566.78,566.793
2025-04-02 13:15:33,566.796,566.826,566.78,566.826
2025-04-02 13:15:36,566.826,566.9973,566.78,566.8365
2025-04-02 13:15:39,566.846,566.876,566.83,566.838
2025-04-02 13:15:42,566.83,566.8403,566.6923,566.8403
2025-04-02 13:15:45,566.756,566.79,566.74,566.7406
2025-04-02 13:15:48,566.75,566.78,566.73,566.75
2025-04-02 13:15:51,566.75,566.75,566.698,566.72
2025-04-02 13:15:54,566.735,566.738,566.639,566.665
2025-04-02 13:15:57,566.668,566.9975,566.65,566.71
2025-04-02 13:16:00,566.7,566.769725,566.68,566.7099
2025-04-02 13:16:03,566.695,566.759,566.695,566.759
2025-04-02 13:16:06,566.764,566.764,566.7259,566.75
2025-04-02 13:16:09,566.764,566.79,566.72,566.76
2025-04-02 13:16:12,566.75,566.81,566.7401,566.8
2025-04-02 13:16:15,566.8033,566.835,566.77,566.8087
2025-04-02 13:16:18,566.8,566.806,566.74,566.75
2025-04-02 13:16:21,566.9869,566.9869,566.7,566.715
2025-04-02 13:16:24,566.736,566.9697,566.7,566.7
2025-04-02 13:16:27,566.7,566.9791,566.66,566.66
2025-04-02 13:16:30,566.67,566.68,566.63,566.68
2025-04-02 13:16:33,566.69,566.6991,566.64,566.66
2025-04-02 13:16:36,566.656,566.9717,566.63,566.68
2025-04-02 13:16:39,566.68,566.772,566.68,566.772
2025-04-02 13:16:42,566.7898,566.82,566.775,566.82
2025-04-02 13:16:45,566.6667,566.9619,566.6667,566.875
2025-04-02 13:16:48,566.89,566.89,566.8601,566.8701
2025-04-02 13:16:51,566.8898,566.93,566.78,566.79
2025-04-02 13:16:54,566.8,566.83,566.8,566.83
2025-04-02 13:16:57,566.84,566.85,566.79,566.79
2025-04-02 13:17:00,566.8188,566.819,566.74,566.7639
2025-04-02 13:17:03,566.8,566.8,566.69,566.73
2025-04-02 13:17:06,566.7264,566.91,566.67,566.705
2025-04-02 13:17:09,566.72,566.76,566.7121,566.76
2025-04-02 13:17:12,566.73,566.73,566.69,566.69
2025-04-02 13:17:15,566.685,566.7534,566.6,566.62
2025-04-02 13:17:18,566.6193,566.64,566.61,566.6299
2025-04-02 13:17:21,566.9428,566.9428,566.63,566.7
2025-04-02 13:17:24,566.71,566.8282,566.5501,566.5687
2025-04-02 13:17:27,566.56,566.9123,566.5599,566.6
2025-04-02 13:17:30,566.6,566.65,566.56,566.63
2025-04-02 13:17:33,566.605,566.63,566.58,566.6186
2025-04-02 13:17:36,566.62,566.62,566.48,566.49
2025-04-02 13:17:39,566.49,566.602,566.49,566.5398
2025-04-02 13:17:42,566.5598,566.6717,566.5303,566.57
2025-04-02 13:17:45,566.59,566.7774,566.5405,566.57
2025-04-02 13:17:48,566.576,566.61,566.576,566.59
2025-04-02 13:17:51,566.59,566.6586,566.59,566.61
2025-04-02 13:17:54,566.61,566.8493,566.58,566.58
2025-04-02 13:17:57,566.605,566.7696,566.58,566.605
2025-04-02 13:18:00,566.615,566.626278,566.6,566.626278
2025-04-02 13:18:03,566.6,566.6584,566.59,566.605
2025-04-02 13:18:06,566.59,566.63,566.59,566.63
2025-04-02 13:18:09,566.62,566.6559,566.5712,566.5712
2025-04-02 13:18:12,566.585,566.6,566.56,566.5883
2025-04-02 13:18:15,566.58,566.6,566.53,566.55
2025-04-02 13:18:18,566.5691,566.62,566.54,566.62
2025-04-02 13:18:21,566.61,566.783,566.61,566.6347
2025-04-02 13:18:24,566.635,566.6595,566.62,566.626
2025-04-02 13:18:27,566.6217,566.77,566.56,566.589
2025-04-02 13:18:30,566.5707,566.61,566.5707,566.58
2025-04-02 13:18:33,566.5701,566.69,566.5701,566.61
2025-04-02 13:18:36,566.605,566.761,566.53,566.54
2025-04-02 13:18:39,566.545,566.55,566.53,566.53
2025-04-02 13:18:42,566.53,566.5698,566.525,566.55
2025-04-02 13:18:45,566.5949,566.62,566.545,566.6
2025-04-02 13:18:48,566.605,566.61,566.6026,566.6026
2025-04-02 13:18:51,566.6088,566.6088,566.56,566.56
2025-04-02 13:18:54,566.56,566.61,566.5375,566.58
2025-04-02 13:18:57,566.57,566.741,566.55,566.61
2025-04-02 13:19:00,566.62,566.65,566.5742,566.62
2025-04-02 13:19:03,566.6278,566.645,566.6,566.63
2025-04-02 13:19:06,566.611,566.6301,566.611,566.6301
2025-04-02 13:19:09,566.635,566.69,566.5918,566.5918
2025-04-02 13:19:12,566.62,566.62,566.52,566.58
2025-04-02 13:19:15,566.5825,566.594,566.57,566.57
2025-04-02 13:19:18,566.6,566.6388,566.5686,566.5999
2025-04-02 13:19:21,566.5812,566.7083,566.5812,566.6
2025-04-02 13:19:24,566.6236,566.66,566.57,566.57
2025-04-02 13:19:27,566.578629,566.7012,566.578629,566.6197
2025-04-02 13:19:30,566.7004,566.7004,566.605,566.69
2025-04-02 13:19:33,566.68,566.76,566.66,566.675
2025-04-02 13:19:36,566.67,566.73,566.624,566.7
2025-04-02 13:19:39,566.71,566.72,566.69,566.7
2025-04-02 13:19:42,566.6898,566.72,566.6542,566.6542
2025-04-02 13:19:45,566.72,566.72,566.67,566.67
2025-04-02 13:19:48,566.67,566.6828,566.62,566.6599
2025-04-02 13:19:51,566.6597,566.6797,566.63,566.63
2025-04-02 13:19:54,566.6201,566.74,566.6201,566.68
2025-04-02 13:19:57,566.6808,566.7288,566.651,566.72
2025-04-02 13:20:00,566.73,566.74,566.68,566.695
2025-04-02 13:20:03,566.7097,566.76,566.685,566.76
2025-04-02 13:20:06,566.73,566.74,566.6838,566.7
2025-04-02 13:20:09,566.6951,566.7388,566.6534,566.71
2025-04-02 13:20:12,566.68,566.69,566.67,566.675
2025-04-02 13:20:15,566.68,566.74,566.68,566.74
2025-04-02 13:20:18,566.73,566.73,566.59,566.59
2025-04-02 13:20:21,566.59,566.6909,566.53,566.6909
2025-04-02 13:20:24,566.6388,566.6625,566.605,566.605
2025-04-02 13:20:27,566.61,566.8839,566.55,566.55
2025-04-02 13:20:30,566.55,566.5791,566.48,566.5
2025-04-02 13:20:33,566.49,566.6518,566.46,566.59
2025-04-02 13:20:36,566.58,566.6572,566.5712,566.6
2025-04-02 13:20:39,566.585,566.8797,566.585,566.605
2025-04-02 13:20:42,566.605,566.65,566.605,566.6399
2025-04-02 13:20:45,566.63,566.65,566.6295,566.64
2025-04-02 13:20:48,566.64,566.7399,566.63,566.7281
2025-04-02 13:20:51,566.71,566.7263,566.67,566.67
2025-04-02 13:20:54,566.67,566.71,566.6,566.6
2025-04-02 13:20:57,566.59,566.5987,566.56,566.58
2025-04-02 13:21:00,566.57,566.6342,566.53,566.5353
2025-04-02 13:21:03,566.5,566.54,566.5,566.51
2025-04-02 13:21:06,566.52,566.52,566.48,566.5
2025-04-02 13:21:09,566.53,566.6136,566.51,566.5498
2025-04-02 13:21:12,566.55,566.61,566.55,566.6
2025-04-02 13:21:15,566.5953,566.5992,566.56,566.5992
2025-04-02 13:21:18,566.598,566.67,566.5791,566.62
2025-04-02 13:21:21,566.646098,566.646098,566.54,566.54
2025-04-02 13:21:24,566.53,566.552,566.29,566.39
2025-04-02 13:21:27,566.38,566.5811,566.3554,566.4101
2025-04-02 13:21:30,566.42,566.5804,566.4,566.41
2025-04-02 13:21:33,566.41,566.41,566.24,566.35
